maven/mavencentral/antlr/antlr/2.7.7, BSD-3-Clause, approved, #148
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.9.0, Apache-2.0, approved, CQ13985
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.9.8, Apache-2.0 AND EPL-1.0, approved, CQ21703
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.9.8, Apache-2.0 AND EPL-1.0, approved, CQ21704
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.9.8, Apache-2.0, approved, CQ20341
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.9.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.9.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml/classmate/1.4.0, Apache-2.0, approved, CQ20208
maven/mavencentral/com.google.guava/guava/20.0, Apache-2.0, approved, CQ12329
maven/mavencentral/com.lmax/disruptor/3.3.6, Apache-2.0, approved, CQ12801
maven/mavencentral/com.mchange/mchange-commons-java/0.2.15, LGPL-2.1-only OR EPL-1.0, approved, clearlydefined
maven/mavencentral/com.rabbitmq/amqp-client/5.4.3, MPL-2.0 OR GPL-2.0 OR Apache-2.0, approved, CQ17744
maven/mavencentral/com.zaxxer/HikariCP/3.2.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-codec/commons-codec/1.11, Apache-2.0 AND BSD-3-Clause, approved, CQ15971
maven/mavencentral/commons-net/commons-net/3.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-authorization/4.3.0, , restricted, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-core-common/4.3.0, , restricted, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-eventhandler/4.3.0, , restricted, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-gatekeeper/4.3.0, , restricted, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-gateway/4.3.0, , restricted, clearlydefined
maven/mavencentral/eu.arrowhead/arrowhead-orchestrator/4.3.0, , restricted, clearlydefined
